Township,Area,State,Tenure,Type,Bedrooms,Bathrooms,Median_Price,Median_PSF,House_Size_SQFT,Transactions,Safety_Score,Crime_Risk,Distance_to_Public_Transport_KM,Distance_to_Mall_KM,Distance_to_School_KM,Distance_to_Hospital_KM,Flood_Risk,Estimated_Rental_Yield_Pct,Historical_Capital_Appreciation_3Yr_Pct,Est_Monthly_Mortgage_RM
TAMAN MASTIARA Residence,Batu Caves,Kuala Lumpur,Leasehold,Terrace House,3,2,575232,563,"1,022",11,71,Moderate,0.60,1.20,1.50,3.40,Low,2.82,5.44,
TAMAN AIR KEROH FASA 1-3 North,Bukit Katil,Melaka,Leasehold,Terrace House,3,2,221485,172,"1,288",14,82,Low,7.30,6.40,2.90,2.80,Low,4.26,1.56,
"TAMAN SRI MEWAH, MERU Phase 2",Kapar,Selangor,Freehold,Terrace House,3,2,528498,411,"1,286",10,76,Low,1.30,3.40,2.40,2.10,Low,2.15,3.31,
D'Ambience Residences (Pangsapuri Ikatan Flora) Residence,Permas Jaya,Johor,Freehold,Service Residence,3,2,387112,432,896,18,79,Low,22.40,6.00,1.90,13.40,High,2.91,3.82,
TAMAN SAFFRON North,Serendah,Selangor,Freehold,Terrace House,3,2,401186,335,"1,198",88,76,Low,1.50,2.20,0.70,4.30,Low,3.42,5.20,
BANDAR PUTRA South,Kulai,Johor,Freehold,"Cluster House, Terrace House",4,3,556190,337,"1,650",628,80,Low,4.90,1.30,5.70,1.70,Low,2.76,5.05,
TAMAN MERDEKA JAYA (AERONOTIK TAIPAN) Residence,Batu Berendam,Melaka,Leasehold,Terrace House,3,2,282354,229,"1,233",22,79,Low,8.30,7.70,1.60,3.30,Medium,2.22,1.10,
TAMAN BERTAM HEIGHTS Extension,Tanjong Minyak,Melaka,Freehold,Terrace House,3,2,165442,148,"1,118",47,79,Low,19.20,3.70,2.00,5.00,Low,3.16,1.15,
Mont Kiara Aman South,Mont Kiara,Kuala Lumpur,Freehold,Condominium,3,2,1254402,657,"1,909",15,66,Moderate,1.30,2.00,4.10,3.00,Low,4.10,5.19,
SS18 North,Subang Jaya,Selangor,Freehold,"Terrace House, Semi D",4,4,865730,466,"1,858",14,69,Moderate,1.10,2.80,1.70,1.90,Medium,2.56,4.62,
TAMAN SENTORIA Phase 2,Kota Samarahan,Sarawak,Freehold,Terrace House,3,2,364817,232,"1,572",10,82,Low,15.90,11.60,1.20,1.80,Low,2.70,1.11,
USJ 13 North,Subang Jaya,Selangor,Freehold,Terrace House,3,2,639808,515,"1,242",12,74,Moderate,0.50,2.50,1.90,4.40,Low,3.28,5.00,
TAMAN BUKIT SEMPANG Residence,Merlimau,Melaka,Freehold,Terrace House,3,2,326894,201,"1,626",27,83,Low,5.10,7.10,0.60,2.80,Low,2.94,2.54,
Andaman Quayside Residence,Tanjong Tokong,Penang,Freehold,Condominium,3,2,2735050,"1,100","2,486",12,74,Moderate,2.50,6.10,0.60,9.20,Medium,5.27,4.87,
PARK AVENUE @ SEREMBAN 2 Section 2,Seremban 2,Negeri Sembilan,Freehold,"Terrace House, Semi D, Bungalow",6,6,640626,201,"3,187",13,79,Low,5.60,3.80,3.20,3.30,Low,2.45,2.83,
SETIA INDAH 12 Phase 2,Setia Alam,Selangor,Freehold,Terrace House,3,2,783384,590,"1,328",16,69,Moderate,0.80,3.80,0.70,1.80,High,3.15,4.74,
Desa Green Central,Jelutong,Penang,Freehold,Apartment,3,2,289320,424,682,15,82,Low,3.50,1.70,0.70,3.00,Low,4.34,2.88,
PALM WALK South,Bandar Sungai Long,Selangor,Freehold,Terrace House,3,2,708796,553,"1,282",13,69,Moderate,4.60,3.20,1.80,7.70,Low,3.31,3.98,
BANDAR SEGAMAT BARU Fasa 3,Segamat,Johor,Freehold,"Bungalow, Terrace House",5,5,234033,130,"1,800",15,71,Moderate,6.10,4.20,1.90,3.60,Medium,3.19,5.14,
TAMAN JATI Phase 2,Batu Berendam,Melaka,"Freehold, Leasehold",Terrace House,3,2,416112,274,"1,519",10,81,Low,15.80,5.40,1.30,8.90,Medium,4.06,2.13,
TABUAN TRANQUILITY Fasa 3,Kuching,Sarawak,"Leasehold, Freehold",Terrace House,3,2,660273,389,"1,697",11,83,Low,10.20,4.30,0.50,5.70,Low,3.05,2.29,
Sri Anggerik 1 Phase 2,Puchong,Selangor,Freehold,Apartment,3,2,307610,370,831,13,77,Low,7.20,1.70,3.80,9.30,Medium,4.40,5.35,
TAMAN BANDAR UTAMA TAMPIN Phase 2,Tampin,Negeri Sembilan,Freehold,"Semi D, Terrace House",4,4,335584,137,"2,450",34,75,Low,12.60,3.70,0.70,4.20,Low,3.49,1.69,
Putri Ria Apartment North,Masai,Johor,Freehold,Apartment,3,2,289382,279,"1,037",17,73,Moderate,1.50,3.80,1.00,6.50,Low,4.42,4.38,
Iconic Skies Phase 2,Sungai Ara,Penang,Freehold,Condominium,3,2,951531,573,"1,661",14,74,Moderate,6.80,3.70,1.10,1.60,Low,4.67,4.26,
"TAMAN ALAMANDA, BANDAR BARU SEGARI Section 2",Lumut,Perak,Leasehold,Terrace House,3,2,167360,125,"1,339",59,75,Low,6.80,7.70,0.90,8.70,Low,2.41,1.08,
KLEBANG PERDANA Central,Ipoh,Perak,Freehold,Terrace House,3,2,537108,402,"1,336",15,77,Low,11.40,5.10,1.80,9.80,Low,2.78,2.07,
TAMAN PELANGI INDAH Residence,Ulu Tiram,Johor,Freehold,"Terrace House, Semi D",4,4,616314,303,"2,034",65,73,Moderate,5.20,7.00,1.20,2.40,Low,2.14,4.94,
Villa Krystal Apartment Vista,Skudai,Johor,Freehold,Apartment,3,2,314491,325,968,25,70,Moderate,13.40,5.50,1.40,2.40,Low,3.99,5.24,
TROPICANA DANGA COVE Fasa 3,Masai,Johor,Freehold,Terrace House,3,2,670439,547,"1,226",19,75,Low,5.10,8.00,0.80,1.60,Low,2.36,2.67,
TIARA SENDAYAN - PRESINT 14C Residence,Labu,Negeri Sembilan,Freehold,Terrace House,3,2,519493,346,"1,501",31,74,Moderate,23.20,3.60,2.00,5.80,Low,3.11,1.47,
USJ 11 Vista,Subang Jaya,Selangor,Freehold,Terrace House,3,2,956516,511,"1,872",53,69,Moderate,12.80,2.10,1.10,3.20,Low,4.16,2.53,
Birchwood Court Central,Rawang,Selangor,Leasehold,Flat,2,1,148532,200,743,10,67,Moderate,0.90,4.40,0.60,12.10,Low,4.15,5.28,
TAMAN DESA Central,Taman Desa,Kuala Lumpur,Freehold,Terrace House,3,2,1544970,727,"2,125",16,63,Moderate,1.30,1.80,12.50,2.30,Medium,2.88,2.78,
Sentul Utama Condominium Fasa 3,Sentul,Kuala Lumpur,Leasehold,Condominium,3,2,351107,390,900,13,67,Moderate,1.80,5.40,0.90,1.80,Low,3.90,3.99,
BANDAR AMANJAYA (KEMBOJA) Fasa 3,Sungai Petani,Kedah,Freehold,Terrace House,3,2,261203,173,"1,510",53,86,Very Low,13.20,9.70,3.40,3.60,Low,2.43,2.17,
Angkasa Apartment Central,Kota Kinabalu,Sabah,Leasehold,Apartment,3,2,258818,375,690,15,76,Low,12.90,7.10,1.70,9.20,Medium,5.12,3.18,
TAMAN MUHIBAH FASA 16 Vista,Merlimau,Melaka,Freehold,Cluster House,4,3,370723,142,"2,611",11,76,Low,40.70,4.60,1.60,4.20,Low,2.11,1.40,
TAMAN SENDAYAN INDAH Phase 2,Bandar Sri Sendayan,Negeri Sembilan,Freehold,Terrace House,3,2,279256,185,"1,509",14,74,Moderate,23.80,4.80,3.80,2.20,Low,2.63,2.49,
SS23 TAMAN SEA South,Petaling Jaya,Selangor,Freehold,Terrace House,3,2,1288733,852,"1,513",22,70,Moderate,2.80,1.50,1.80,5.80,Low,2.83,5.03,
GOODVIEW HEIGHTS Extension,Kajang,Selangor,Freehold,"Terrace House, Town House",3,2,818254,527,"1,553",48,74,Moderate,1.40,1.60,1.20,13.20,Medium,3.65,2.80,
TAMAN BANTING BARU Residence,Banting,Selangor,Freehold,Terrace House,3,2,339475,262,"1,296",24,75,Low,4.80,1.80,2.20,6.90,Medium,3.44,2.84,
BB SETIA AWAN PERDANA RESIDEN 2 North,Sitiawan,Perak,Freehold,"Cluster House, Bungalow",4,4,211381,127,"1,664",16,81,Low,51.50,5.30,4.70,6.80,Low,2.59,1.44,
TAMAN MEGAH Residence,Batu Pahat,Johor,Freehold,Terrace House,3,2,331371,199,"1,665",11,73,Moderate,11.30,2.80,1.80,6.20,Low,2.40,4.35,
TAMAN PERAKKU SERDANG North,Sitiawan,Perak,Leasehold,Terrace House,3,2,116309,52,"2,237",46,73,Moderate,5.00,6.20,3.70,3.30,Medium,3.30,1.44,
PERUMAHAN MAKMUR GAMBANG JAYA 1 (PRIMA) Vista,Kuantan,Pahang,Leasehold,Semi D,4,4,220980,83,"2,662",15,76,Low,20.20,4.60,0.90,1.70,High,4.28,2.05,
TAMAN SAUJANA UTAMA North,Saujana Utama,Selangor,Leasehold,Terrace House,3,2,562114,301,"1,867",21,68,Moderate,0.60,1.10,3.60,6.00,Low,2.22,2.86,
TAMAN DESA PERMAI Fasa 3,Kapar,Selangor,Freehold,Semi D,4,4,631494,200,"3,157",14,67,Moderate,1.20,4.20,1.90,9.10,Low,3.34,5.44,
Sri Impian Apartment South,Ayer Itam,Penang,Leasehold,Apartment,3,2,294447,356,827,10,82,Low,1.40,3.00,3.60,3.30,Low,4.52,5.35,
Sri Impian Apartment South,Johor Bahru,Johor,Leasehold,Apartment,3,2,298003,286,"1,042",22,72,Moderate,6.60,8.80,2.30,2.70,Low,4.22,3.81,
TAMAN SEMARANG INTAN Fasa 3,Dengkil,Selangor,"Leasehold, Freehold",Terrace House,3,2,661909,332,"1,994",14,76,Low,3.40,3.50,1.60,2.10,Medium,3.15,4.59,
TWIN PALM Section 2,Cheras,Selangor,Freehold,Bungalow,8,8,3041005,500,"6,082",20,73,Moderate,0.80,3.70,1.10,1.70,Medium,2.85,5.09,
TAMAN DESA INTAN Vista,Kapar,Selangor,"Freehold, Leasehold",Terrace House,3,2,447958,338,"1,325",10,72,Moderate,1.70,9.90,2.00,9.90,Low,2.07,3.82,
TAMAN BUKIT MALURI Section 2,Kepong,Kuala Lumpur,Leasehold,Terrace House,3,2,951137,442,"2,152",33,68,Moderate,2.00,4.40,1.20,4.40,Low,3.18,4.32,
KAMPUNG BATU TIONG / BATU GEDUP Section 2,Dungun,Terengganu,Freehold,Semi D,4,4,387977,100,"3,880",14,87,Very Low,11.90,6.90,5.30,2.70,Medium,2.63,2.07,
TAMAN BUNGA MAWAR Residence,Kuching,Sarawak,Leasehold,Terrace House,3,2,228394,175,"1,305",11,74,Moderate,6.90,9.70,4.40,5.90,Low,3.11,2.72,
TAMAN SENDAYAN INDAH Central,Bandar Sri Sendayan,Negeri Sembilan,Freehold,Terrace House,3,2,295964,197,"1,502",15,75,Low,13.10,11.50,1.30,13.70,Low,3.78,2.84,
BANDAR SERI BOTANI Residence,Ipoh,Perak,"Freehold, Leasehold","Terrace House, Semi D",4,4,451378,347,"1,301",68,76,Low,25.90,7.10,0.60,11.00,Low,2.79,3.50,
Damansara Foresta Central,Bandar Sri Damansara,Selangor,Freehold,Condominium,3,2,657985,425,"1,548",14,71,Moderate,0.70,3.00,1.40,4.80,Low,5.15,3.28,
"P/L 1280, KAMPUNG KOLAM Extension",Rompin,Pahang,Freehold,Terrace House,3,2,199643,123,"1,623",22,82,Low,6.30,4.00,1.40,8.60,Low,2.45,1.79,
BUNGA RAYA North,Bukit Baru,Melaka,"Freehold, Leasehold",Terrace House,3,2,343067,177,"1,938",11,83,Low,11.60,3.50,1.00,1.50,Low,3.04,3.13,
Vista Bayu Central,Klang,Selangor,Freehold,Apartment,3,2,332088,279,"1,190",10,73,Moderate,7.60,2.60,2.50,7.90,Low,4.99,5.05,
TAMAN KOTA SELESA Fasa 3,Kota Tinggi,Johor,Freehold,Terrace House,3,2,449747,259,"1,736",21,72,Moderate,7.60,9.70,1.90,2.70,Low,2.63,4.28,
DANGA SUTERA Residence,Skudai,Johor,Freehold,"Terrace House, Semi D",4,4,952760,580,"1,643",20,73,Moderate,7.80,8.70,2.70,4.90,Low,2.65,2.83,
KAMPUNG PANDAN DALAM Vista,Ampang,Selangor,Leasehold,"Bungalow, Semi D",4,3,379436,133,"2,853",10,75,Low,1.60,4.60,4.40,6.50,Low,3.57,2.93,
TAMAN OREN North,Butterworth,Penang,Freehold,Terrace House,3,2,1395883,849,"1,644",12,75,Low,6.40,2.40,2.40,1.70,Low,3.54,4.44,
BANDAR PUTERI HILLPARK Extension,Sungai Petani,Kedah,Freehold,Terrace House,3,2,299663,159,"1,885",25,82,Low,5.20,5.00,1.30,2.20,Medium,3.86,1.35,
BAYAN BARU Central,Bayan Baru,Penang,Leasehold,"Cluster House, Terrace House, Semi D",4,4,549568,374,"1,469",30,78,Low,7.10,1.10,0.70,5.80,Low,3.80,5.50,
TAMAN IPOH JAYA Extension,Ipoh,Perak,Leasehold,Terrace House,3,2,210345,269,782,19,80,Low,41.70,8.40,7.20,3.20,Low,3.96,2.88,
TAMAN WIRA (RPA MERGONG) Vista,Alor Setar,Kedah,Freehold,Terrace House,3,2,43000,38,"1,132",16,84,Low,19.20,6.20,4.70,2.20,Low,3.52,2.05,
Villa Bestari Apartment Section 2,Iskandar Puteri (Nusajaya),Johor,Freehold,Apartment,3,2,406726,340,"1,196",10,75,Low,13.40,4.80,2.60,1.90,Low,4.88,4.67,
BERJAYA PERMAI South,Kuantan,Pahang,Leasehold,"Semi D, Terrace House",4,4,193061,91,"2,122",10,79,Low,24.30,9.40,3.00,1.60,High,3.45,2.99,
TAMAN ALAMANDA (KEDIAMAN) Vista,Bahau,Negeri Sembilan,Leasehold,Terrace House,3,2,205813,182,"1,131",27,78,Low,6.90,3.80,0.60,3.10,Low,3.03,1.30,
TAMAN BERCHAM RAYA Heights,Tambun,Perak,Leasehold,Terrace House,3,2,213729,163,"1,311",11,76,Low,39.90,5.60,1.60,2.70,Medium,3.29,1.66,
TAMAN BENTARA Vista,Telok Panglima Garang,Selangor,Leasehold,Terrace House,3,2,388308,270,"1,438",77,69,Moderate,0.70,8.30,1.20,1.70,Low,2.88,2.55,
The Clovers Extension,Bayan Lepas,Penang,Freehold,Condominium,3,2,657888,424,"1,552",15,79,Low,5.60,2.10,1.60,3.60,Medium,4.08,4.93,
Taman Air Tawar Indah Fasa 3,Butterworth,Penang,Freehold,Flat,2,1,125518,185,678,10,75,Low,1.90,2.00,0.70,8.30,Medium,4.45,2.53,
D'carlton (Residensi Seri Mega) Residence,Masai,Johor,Freehold,Service Residence,3,2,402332,453,888,10,77,Low,1.10,17.70,1.10,3.40,High,3.08,3.37,
TAMAN SENAI JAYA Fasa 3,Senai,Johor,Freehold,Terrace House,3,2,156483,104,"1,505",45,78,Low,4.30,3.90,2.40,3.50,Low,3.10,3.71,
Anggerik Villa 2 Extension,Kajang,Selangor,Freehold,Apartment,3,2,233521,204,"1,145",13,77,Low,1.40,8.10,1.70,3.90,Medium,5.34,2.62,
GOODVIEW HEIGHTS Residence,Kajang,Selangor,Freehold,"Terrace House, Town House",3,2,841942,578,"1,457",80,68,Moderate,2.20,4.10,5.10,7.80,High,3.57,5.05,
Mahsuri Flat Heights,Bayan Baru,Penang,Leasehold,Flat,2,1,158172,311,509,44,81,Low,6.20,1.10,1.10,4.00,Low,5.41,3.03,
COUNTRY VILLAS South,Bemban,Melaka,Leasehold,"Semi D, Terrace House",4,4,735371,361,"2,037",21,75,Low,5.70,4.60,2.30,8.50,Medium,3.22,1.11,
BANDAR LAHAT MINES North,Lahat,Perak,Leasehold,Cluster House,4,3,432265,242,"1,786",15,75,Low,7.00,7.40,7.30,2.80,Low,3.15,1.31,
Mutiara Magna Extension,Kepong,Kuala Lumpur,Leasehold,Flat,2,1,220316,332,664,11,64,Moderate,2.50,7.20,2.70,3.30,Low,5.13,2.84,
DESA PINGGIRAN PUTRA Central,Dengkil,Selangor,Leasehold,"Bungalow, Terrace House",6,5,428878,212,"2,023",14,68,Moderate,1.60,5.00,0.70,7.70,Medium,3.18,4.06,
BANDAR PUTRA Extension,Kulai,Johor,Freehold,"Cluster House, Terrace House",4,3,655185,339,"1,933",372,71,Moderate,8.80,3.30,1.00,5.80,Low,4.23,4.46,
Jentayu Extension,Skudai,Johor,Freehold,Flat,2,1,117490,213,552,22,70,Moderate,7.30,4.10,0.90,1.60,Low,3.86,3.22,
Taman Machang Bubok Residence,Bukit Mertajam,Penang,Freehold,Flat,2,1,77390,122,634,11,82,Low,12.20,2.70,1.80,9.90,Low,3.49,4.77,
TAMAN EVERGREEN HEIGHTS Phase 2,Batu Pahat,Johor,Freehold,Terrace House,3,2,426641,236,"1,808",38,70,Moderate,8.10,8.90,1.60,7.10,Low,3.59,4.33,
TAMAN DESA ANUGERAH Vista,Sepang,Selangor,Leasehold,Terrace House,3,2,369176,280,"1,318",10,71,Moderate,1.90,2.70,2.60,2.40,Low,2.09,4.79,
TAMAN SERI ANDALAS Phase 2,Klang,Selangor,Leasehold,"Semi D, Terrace House",4,4,422519,262,"1,613",37,74,Moderate,3.30,2.40,2.00,1.60,Medium,3.48,5.39,
Platinum Lake PV 16 Heights,Setapak,Kuala Lumpur,Leasehold,Condominium,3,2,576986,392,"1,472",16,73,Moderate,1.30,4.80,3.20,3.50,Low,4.55,3.41,
N-Park Condominium Central,Gelugor,Penang,Freehold,Condominium,3,2,296070,435,681,16,82,Low,3.20,2.80,3.40,7.50,Low,4.08,3.03,
TAMAN SENTOSA PERDANA South,Klang,Selangor,Freehold,Terrace House,3,2,508242,394,"1,290",19,68,Moderate,4.40,2.00,1.10,6.00,Low,3.66,4.62,
BANDAR SCIENTEX JASIN Section 2,Jasin,Melaka,Freehold,Terrace House,3,2,168662,199,848,273,85,Very Low,13.90,6.00,0.80,3.00,Low,2.46,1.40,
TAMAN SILIBIN RIA Heights,Ipoh,Perak,Leasehold,"Terrace House, Semi D",4,4,572383,298,"1,921",15,79,Low,29.00,10.40,2.20,18.60,Low,2.18,3.28,
TAMAN SRI JAYA 1 & 2 Section 2,Kluang,Johor,Freehold,Terrace House,3,2,262952,165,"1,594",10,71,Moderate,11.40,5.40,4.80,2.50,Medium,2.54,3.53,
GLENMARIE COVE Section 2,Klang,Selangor,Freehold,Semi D,4,4,1219684,332,"3,674",10,71,Moderate,5.40,5.40,0.50,5.90,Medium,2.65,3.74,
SETIA INDAH 9 South,Setia Alam,Selangor,Freehold,Terrace House,3,2,971397,651,"1,492",22,77,Low,6.70,2.90,1.10,9.40,Low,3.64,5.11,
BANDAR TASIK SENANGIN Fasa 3,Lenggeng,Negeri Sembilan,Freehold,Bungalow,5,5,451296,101,"4,468",61,78,Low,13.50,9.30,0.50,5.30,Low,2.42,2.72,
INDERA SEMPURNA Phase 2,Kuantan,Pahang,Leasehold,"Semi D, Terrace House",4,4,224735,169,"1,330",13,78,Low,10.80,4.90,1.30,8.60,Medium,2.81,3.45,
TAMAN WARISAN PUTERI Extension,Ampangan,Negeri Sembilan,Freehold,"Semi D, Terrace House, Cluster House",4,4,476982,256,"1,863",30,83,Low,18.10,4.60,4.80,2.30,Low,2.69,1.02,
BANDAR TASIK KESUMA North,Beranang,Selangor,Freehold,"Semi D, Town House, Terrace House",4,4,448730,309,"1,452",65,77,Low,1.70,4.30,2.20,2.70,Low,3.19,2.95,
TAMAN SAUJANA Section 2,Kluang,Johor,Freehold,Terrace House,3,2,128047,114,"1,123",81,80,Low,6.50,2.20,3.20,7.20,High,2.10,4.59,
TAMAN MERBAU INDAH Central,Triang,Pahang,Freehold,Terrace House,3,2,210441,144,"1,461",12,86,Very Low,23.30,4.70,1.60,1.80,Low,3.68,2.15,
TAMAN SERI BAYU 2 Heights,Sungai Petani,Kedah,Freehold,Terrace House,3,2,151471,152,997,10,86,Very Low,22.50,4.20,1.50,1.90,Low,3.56,2.35,
TAMAN KUCAI INDAH II Fasa 3,Lunas,Kedah,Freehold,"Semi D, Terrace House",4,4,497182,282,"1,763",10,81,Low,12.00,9.10,2.40,13.00,Medium,3.45,2.49,
The Park Residences 1 Section 2,Kampung Kerinchi (Bangsar South),Kuala Lumpur,Leasehold,Condominium,3,2,1104821,625,"1,768",28,65,Moderate,1.00,4.50,4.70,4.70,Low,4.73,3.10,
Idaman Selasih Fasa 3,Bayan Lepas,Penang,Freehold,Flat,2,1,301450,475,635,21,79,Low,4.40,3.80,6.20,5.60,Low,3.82,3.82,
TAMAN MASTIARA Fasa 3,Batu Caves,Kuala Lumpur,Leasehold,Terrace House,3,2,563973,601,938,10,65,Moderate,0.90,1.10,2.40,10.90,Low,3.03,4.82,
TAMAN SENTOSA IMPIAN Section 2,Dengkil,Selangor,Freehold,Semi D,4,4,943631,218,"4,329",10,72,Moderate,6.00,5.80,1.80,6.00,High,2.85,2.99,
Pandan Mewah Residence,Ampang,Selangor,Leasehold,Flat,2,1,180540,234,772,15,74,Moderate,1.60,14.90,0.60,5.90,Low,3.78,3.14,
Taman Saujana Puchong Vista,Puchong,Selangor,Leasehold,Flat,2,1,112330,133,845,10,77,Low,0.90,2.00,2.00,5.20,Medium,4.88,3.91,
EKA HEIGHTS - PRECINCT 3A Central,Labu,Negeri Sembilan,Freehold,Terrace House,3,2,369116,257,"1,436",58,77,Low,5.40,4.00,0.80,5.40,Low,3.63,2.04,
Puncak Seri Kelana Extension,Ara Damansara,Selangor,Leasehold,Condominium,3,2,365612,404,905,10,69,Moderate,3.10,1.40,1.00,8.70,Low,5.25,5.45,
TAMAN EVERGREEN HEIGHTS Extension,Batu Pahat,Johor,Freehold,Terrace House,3,2,455753,261,"1,746",52,78,Low,7.10,2.20,1.50,12.80,High,3.54,5.09,
TAMAN SUNGAI UDANG MUTIARA Central,Sungai Udang,Melaka,Freehold,Terrace House,3,2,271360,180,"1,508",14,75,Low,11.20,4.30,1.20,5.20,Low,3.17,3.34,
TAMAN SAGA INDAH Residence,Mentakab,Pahang,Leasehold,Terrace House,3,2,214582,154,"1,393",17,82,Low,6.10,7.70,4.00,11.40,Low,3.91,3.48,
Rampai Court Extension,Wangsa Maju,Kuala Lumpur,Freehold,Apartment,3,2,243851,425,574,35,71,Moderate,1.80,5.50,0.90,1.60,Low,4.63,4.84,
T'LAGENDA@PERAMU (P/L 23051) Fasa 3,Pekan,Pahang,"Freehold, Leasehold",Terrace House,3,2,273524,192,"1,425",14,82,Low,10.60,5.00,0.70,6.50,Low,3.25,1.65,
BAYU SUTERA - PRECINCT 3B South,Jimah,Negeri Sembilan,Freehold,Terrace House,3,2,585978,524,"1,118",84,78,Low,22.00,6.70,0.60,8.70,Medium,2.82,3.24,
TAMAN POLO LAGUNA @ TAMBUN Heights,Ipoh,Perak,Leasehold,Terrace House,3,2,469349,350,"1,341",63,81,Low,19.00,4.40,1.30,5.90,Medium,2.13,2.48,
Pangsapuri Cempaka Phase 2,Puchong,Selangor,Freehold,Flat,2,1,184166,237,777,10,71,Moderate,1.60,2.70,1.40,1.80,Low,4.06,3.66,
NUSARI AMAN 2 Extension,Bandar Sri Sendayan,Negeri Sembilan,Freehold,"Semi D, Terrace House",4,4,521260,206,"2,530",21,81,Low,8.70,5.00,2.70,11.40,Low,4.03,3.13,
TAMAN MEGA RIA 2 Central,Tangkak,Johor,Freehold,Terrace House,3,2,105144,108,974,10,75,Low,27.60,2.60,1.30,6.40,Low,3.38,3.32,
MEDAN KLEBANG RESTU South,Chemor,Perak,Freehold,Terrace House,3,2,244325,158,"1,546",14,72,Moderate,14.10,12.10,1.00,3.80,Low,3.09,2.02,
BAYAN BARU Section 2,Bayan Baru,Penang,Leasehold,"Cluster House, Terrace House, Semi D",4,4,518527,361,"1,436",40,78,Low,8.00,5.80,1.90,2.00,Low,2.81,2.81,
MUTIARA DAMANSARA Vista,Mutiara Damansara,Selangor,Freehold,"Terrace House, Bungalow",7,6,1394965,863,"1,616",10,67,Moderate,0.90,4.00,0.80,4.40,Low,3.25,3.41,
TAMAN CHAI LENG Central,Perai,Penang,Freehold,Terrace House,3,2,526888,268,"1,966",19,83,Low,5.00,3.30,3.60,4.00,Low,3.52,3.46,
Taman Pandan Perdana Fasa 3,Ampang,Selangor,Leasehold,Flat,2,1,132061,236,560,15,73,Moderate,0.60,2.00,0.90,9.80,Low,4.19,2.66,
TAMAN ERA Vista,Simpang Rengam,Johor,Freehold,Terrace House,3,2,378849,215,"1,762",10,74,Moderate,5.20,1.60,1.30,2.30,Low,4.28,4.02,
REJANG PARK Heights,Sibu,Sarawak,Leasehold,Terrace House,3,2,354500,192,"1,846",20,79,Low,54.90,8.00,1.50,3.20,Low,2.06,2.35,
HIJAYU 3B Heights,Bandar Sri Sendayan,Negeri Sembilan,Freehold,Terrace House,3,2,568171,316,"1,798",10,80,Low,12.30,4.80,3.40,4.70,Low,4.00,2.93,
BANDAR JAYA PUTRA Residence,Tebrau,Johor,Freehold,"Terrace House, Cluster House",4,3,1374305,600,"2,291",60,72,Moderate,1.20,4.80,3.90,10.80,Low,3.61,2.92,
Palm Court Condominium North,Brickfields,Kuala Lumpur,Leasehold,Condominium,3,2,319817,405,790,12,66,Moderate,0.60,2.20,5.10,1.60,Low,4.71,4.80,
HUTAN MELINTANG RESIDENCE Residence,Hutan Melintang,Perak,Freehold,"Terrace House, Semi D",4,4,441261,147,"3,002",20,76,Low,12.40,4.90,3.90,2.80,Low,3.32,3.23,
Taman Terubong Jaya South,Ayer Itam,Penang,Leasehold,Flat,2,1,149128,286,521,39,75,Low,2.00,2.00,1.00,5.30,Low,3.84,3.23,
Bahagia Residences Vista,Miri,Sarawak,Leasehold,Apartment,3,2,296712,311,954,13,82,Low,5.40,5.20,2.40,10.50,Medium,5.20,2.56,
SETIA INDAH 9 North,Setia Alam,Selangor,Freehold,Terrace House,3,2,928190,570,"1,628",20,68,Moderate,4.00,4.40,0.80,12.30,Low,2.00,3.56,
TAMAN BUKIT KEMAYAN (KEMAYAN HEIGHTS) Section 2,Rasah,Negeri Sembilan,Freehold,Semi D,4,4,1071101,346,"3,096",10,83,Low,14.20,4.40,0.70,1.90,Low,3.97,1.07,
PER.SRI. MAHKOTA JAYA (T.WIRA JAYA) Fasa 3,Kuantan,Pahang,Freehold,Terrace House,3,2,171418,234,733,15,79,Low,10.10,6.00,0.70,2.10,Medium,2.01,1.70,
TAMAN MEGA RIA 2 Vista,Tangkak,Johor,Freehold,Terrace House,3,2,106136,106,"1,001",10,76,Low,14.80,2.10,1.00,5.20,Low,4.10,5.20,
Taman Langat Murni Apartment Residence,Dengkil,Selangor,Leasehold,Apartment,3,2,175827,223,788,14,68,Moderate,0.80,6.10,2.60,2.70,Low,4.39,4.16,
Kenanga Apartment Phase 2,Serendah,Selangor,Freehold,Flat,2,1,47697,77,619,10,71,Moderate,8.30,1.80,5.60,1.50,Medium,3.96,3.23,
BANDAR BESTARI PERMAI North,Kuala Ketil,Kedah,Freehold,Terrace House,3,2,230204,131,"1,757",11,85,Very Low,10.70,9.90,0.80,13.30,Medium,3.88,1.27,
Villa Krystal Apartment North,Skudai,Johor,Freehold,Apartment,3,2,278784,337,827,33,72,Moderate,14.20,2.30,1.40,6.40,Medium,4.32,4.40,
TAMAN BUKIT RAHMAN PUTRA Fasa 3,Sungai Buloh,Selangor,Freehold,"Terrace House, Cluster House",4,3,638119,398,"1,603",28,68,Moderate,2.80,3.70,1.10,4.70,Low,2.24,4.06,
Nilai 3 Extension,Nilai,Negeri Sembilan,Freehold,Apartment,3,2,99491,143,696,16,79,Low,31.30,7.40,0.60,1.50,Low,4.53,2.86,
TAMAN PUCHONG PERDANA Heights,Puchong,Selangor,Leasehold,Terrace House,3,2,348960,320,"1,090",27,68,Moderate,10.80,2.80,0.70,5.90,High,2.54,3.38,
